"Occupation Title","Occupation Code","Employment 2022","Employment 2032","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupational Openings, 2022-2032 Annual Average","Median Annual Wage 2022","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode",Industry,At Risk
"Prepress technicians and workers    * Digital Proofing and Platemaker* Electronic Pre-Press Technician* Photoengraver* Plate Mounter* Pre-Press Proofer* Prepress Stripper* Type Setter","=""51-5111""","25.7","21.3","-4.4","-17.1","2.5","43,560","Postsecondary nondegree award","5","None","4","None","6",-,-1
"Coil winders, tapers, and finishers    * Coil Builder* Coil Former* Coil Winder* Motor Rewinder* Motor Winder* Multiple Coil Winder* Rotor Coil Taper* Wire Coiler* Wire Winder* Wire Winding Machine Tender","=""51-2021""","11.1","9.3","-1.8","-16.6","0.9","43,160","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Payroll and timekeeping clerks    * Flight Crew Time Clerk* Payroll Bookkeeper* Personnel Scheduler* Time Clerk* Time and Attendance Clerk* Timekeeper","=""43-3051""","165.4","138.3","-27.2","-16.4","12.5","49,630","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Structural metal fabricators and fitters    * Mill Beam Fitter* Protector Plate Attacher","=""51-2041""","59.6","49.8","-9.8","-16.4","4.6","47,200","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Print binding and finishing workers    * Bindery Cutter Operator* Bindery Folder Operator* Bindery Machine Operator* Bindery Worker* Book Repairer* Bookbinder* Bookbinding Machine Operator* Case Binder Operator* Foil Stamp Operator* Perfect Binder Operator* Saddle Stitch Operator* Saddle Stitcher Operator* Spiral Binder Operator","=""51-5113""","41.4","34.6","-6.8","-16.4","2.8","36,970","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"File clerks    * Cut File Clerk* Document Clerk* File Keeper* Index Clerk* Records Clerk","=""43-4071""","91.1","76.5","-14.6","-16.0","8.8","37,290","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Door-to-door sales workers, news and street vendors, and related workers    * Newspaper Carrier* Newstand Vendor* Peddler* Souvenir Street Vendor","=""41-9091""","36.4","30.6","-5.8","-15.9","4.0","31,100","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Sewers, hand    * Hand Quilter* Hand Sewer* Hand Stitcher* Hand Weaver","=""51-6051""","6.9","5.8","-1.1","-15.8","0.8","31,530","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Sewing machine operators    * Blind Stitch Machine Operator* Button Sewing Machine Operator* Carpet Sewing Machine Operator* Custom T-Shirt Embroidery Machine Operator* Embroidery Machine Operator* Hemming and Tacking Machine Operator* Ultrasonic Seaming Machine Operator","=""51-6031""","141.9","120.3","-21.6","-15.2","12.5","31,740","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Aircraft structure, surfaces, rigging, and systems assemblers    * Aircraft De-Icer Installer* Aircraft Fuselage Framer* Aircraft Layout Worker* Aircraft Line Assembler* Aircraft Part Assembler* Aircraft Riveter* Aircraft Sheet Metal Mechanic* Helicopter Airframe Mechanic* Propeller Layout Worker* Wing Coverer","=""51-2011""","33.9","28.8","-5.1","-15.2","2.8","58,430","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Forging machine setters, operators, and tenders, metal and plastic    * Cold Header Operator* Forging Roll Operator* Header Setup Operator* Spike Machine Operator* Swager Operator* Swaging Machine Operator","=""51-4022""","10.9","9.3","-1.6","-14.6","0.9","46,540","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Tellers    * Bank Teller* Commercial Teller* Exchange Teller* Foreign Banknote Teller* Foreign Exchange Clerk* Loan Teller* Money Order Clerk* Receiving Teller* Savings Teller* Securities Teller","=""43-3071""","364.1","311.1","-52.9","-14.5","29.0","36,380","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"New accounts clerks    * Banking Services Clerk* New Accounts Banking Representative* New Client Banking Services Clerk","=""43-4141""","46.6","39.8","-6.7","-14.4","3.2","40,820","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Office machine operators, except computer    * Business Machine Operator* Coin Machine Operator* Coin Rolling Machine Operator* Coin Wrapping Machine Operator* Collator Operator* Copy Center Operator* Copy Machine Operator* Duplicating Machine Operator* Scanning Equipment Operators","=""43-9071""","31.6","27.1","-4.5","-14.2","3.5","36,710","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Milling and planing machine setters, operators, and tenders, metal and plastic    * Metal Milling Machine Operator* Metal Rotary Head Milling Machine Setup Operator* Plastic Thread Milling Machine Setup Operator","=""51-4035""","15.7","13.5","-2.2","-13.9","1.6","46,870","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Cooks, fast food    * Fast Food Cook* Fast Food Fry Cook* Fryline Attendant","=""35-2011""","742.0","640.4","-101.6","-13.7","93.3","27,640","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Tailors, dressmakers, and custom sewers    * Alterations Sewer* Alterations Tailor* Bridal Gown Fitter* Coat Cutter* Coat Maker* Couture Dressmaker* Dress Fitter* Fur Tailor* Garment Fitter* Suit Maker* Vest Maker","=""51-6052""","33.9","29.3","-4.6","-13.6","3.8","34,280","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Desktop publishers    * DTP Operator* Desktop Publishing Specialist* Electronic Console Display Operator* Electronic Imager* Electronic Pagination System Operator* Electronic Publisher* Electronic Publishing Specialist","=""43-9031""","8.5","7.4","-1.1","-13.5","0.7","47,910","Associate's degree","4","None","4","Short-term on-the-job training","5",-,-1
"Adult basic education, adult secondary education, and english as a second language instructors    * Adult Basic Studies Teacher* Adult Education Teacher* Adult English as a Second Language (ESL) Teacher* Adult Literacy Instructor* Adult Literacy Teacher* Adult Remedial Education Instructor* GED¿ Instructor* General Educational Development (GED¿) Teacher* General Educational Development Teacher","=""25-3011""","42.2","36.9","-5.3","-12.6","4.2","58,590","Bachelor's degree","3","None","4","None","6",-,-1
"Power plant operators    * Hydroelectric Plant Operator* Power Plant Control Room Operator* Powerhouse Operator* Turbine Room Attendant","=""51-8013""","32.2","28.2","-4.0","-12.5","2.1","93,060","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Photographic process workers and processing machine operators    * Digital Imaging Technician* Digital Photo Printer* Digital Photo Technician* Digital Retoucher* Film Developing Machine Operator* Film Printer* Film Process Operator* Film Processor* Photo Lab Specialist* Photo Lab Technician* Photo Machine Operator* Photo Print Specialist* Photo Retoucher* Print Retoucher","=""51-9151""","6.4","5.6","-0.8","-12.5","0.7","36,280","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Underground mining machine operators, all other    * Clay Mine Cutting Machine Operator* Long Wall Mining Machine Tender* Long Wall Operator* Long Wall Plow Operator* Long Wall Shear Operator* Long Wall Shearer* Mine Cutting and Channeling Machine Operator* Rock Dust Sprayer* Rock Duster* Shale Planer Operator* Shearer Operator* Underground Jumbo Driller","=""47-5049""","2.3","2.0","-0.3","-12.5","0.2","64,180","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Meter readers, utilities    * Electric Meter Reader* Gas Meter Reader* Water Meter Reader","=""43-5041""","21.1","18.5","-2.6","-12.2","1.4","44,760","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Terrazzo workers and finishers    * Granite-Chip Terrazzo Finisher* Marble-Chip Terrazzo Worker* Onyx-Chip Terrazzo Worker* Rustic Terrazzo Setter* Terrazzo Finisher* Terrazzo Grinder* Terrazzo Installer* Terrazzo Layer* Terrazzo Setter* Terrazzo Worker","=""47-2053""","1.6","1.4","-0.2","-12.2","0.1","52,330","High school diploma or equivalent","7","None","4","Apprenticeship","2",-,-1
"Gas plant operators    * Gas Controller* Gas Plant Dispatcher* Gas Plant Technician* Natural Gas Plant Technician","=""51-8092""","14.8","13.0","-1.7","-11.7","1.1","79,460","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Secretaries and administrative assistants, except legal, medical, and executive    * Alumni Secretary* Office Secretary* Personal Secretary* Real Estate Administrative Assistant","=""43-6014""","2,030.2","1,794.3","-235.9","-11.6","188.4","41,000","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Broadcast announcers and radio disc jockeys    * Commercial Announcer* Game Show Host* Radio Artist* Radio Disc Jockey* Radio Host* Talk Show Host* Television Host","=""27-3011""","28.0","24.8","-3.2","-11.4","2.4","41,750","Bachelor's degree","3","None","4","None","6",-,-1
"Postal service mail sorters, processors, and processing machine operators    * Flat Sorter Operator* Flat Sorting Machine Clerk* Mail Forwarding System Markup Clerk* Parcel Post Distribution Machine Operator* Post Office Markup Clerk* Postal Service Mail Processor* Small Package and Bundle Sorter Clerk","=""43-5053""","115.0","102.1","-13.0","-11.3","8.2","49,130","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Computer programmers    * Applications Programmer* Computer Language Coder* Computer Programmer* IT Programmer* Junior Software Developer* Mainframe Programmer* Systems Programmer","=""15-1251""","147.4","130.8","-16.6","-11.2","6.7","97,800","Bachelor's degree","3","None","4","None","6",1,0
"Carpet installers    * Carpet Layer* Commercial Carpet Installer* Residential Carpet Installer* Wall-to-Wall Carpet Installer","=""47-2041""","25.1","22.3","-2.8","-11.1","1.5","45,240","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Locksmiths and safe repairers    * Key Maker* Keysmith* Lock Expert* Lock Fitter* Lock Setter* Lock Technician* Locksmith* Safe and Vault Installer* Safe and Vault Mechanic","=""49-9094""","18.2","16.1","-2.0","-11.1","1.7","47,400","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Paper goods machine setters, operators, and tenders    * Box Fabricator* Carton Making Machine Operator* Corrugated Box Machine Operator* Corrugator Machine Operator* Corrugator Operator* Envelope Machine Operator* Napkin Machine Operator* Paper Bag Machine Operator* Paper Cone Machine Tender* Paper Machine Operator","=""51-9196""","92.7","82.5","-10.2","-11.0","8.8","45,710","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Rolling machine setters, operators, and tenders, metal and plastic    * Brass Roller* Forming Roll Operator* Metal Sheet Roller Operator* Pipe Straightener* Plastic Straightening Roll Operator* Steel Roller","=""51-4023""","28.2","25.1","-3.1","-11.0","2.4","46,310","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Shoe and leather workers and repairers    * Cobbler* Leather Lacer* Leather Worker* Luggage Repairer* Saddle Maker* Saddle and Harness Maker* Shoe Maker* Shoe Repairer* Shoemaker","=""51-6041""","9.8","8.7","-1.1","-11.0","1.0","32,460","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic    * Crimping Machine Operator for Metal* Four Slide Machine Setter* Metal Punch Press Operator* Metal Slitter* Metal Stamper","=""51-4031""","184.8","164.7","-20.1","-10.9","14.9","39,340","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters    * Adobe Layer Helper* Brick Carrier* Brick Washer* Bricklayer Helper* Ceramic Tile Installation Helper* Chimney Builder Helper* Firebrick Layer Helper* Marble Installation Helper* Mortar Mixer* Parquet Floor Layer's Helper* Refractory Tile Helper* Wood Tile Installation Helper","=""47-3011""","17.9","15.9","-2.0","-10.9","1.7","39,430","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Shoe machine operators and tenders    * Arch Cushion Press Operator* Insole Beveler* Lacing Operator* Lasting Machine Operator* Pump Stitcher* Rasper Machine Operator* Shoe Cementer* Shoe Sewing Machine Operator and Tender* Sole Trimmer","=""51-6042""","3.3","2.9","-0.4","-10.9","0.3","33,060","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Computer, automated teller, and office machine repairers    * ATM Servicer* Cash Register Servicer* Computer Repair Technician* Computer Repairer* Computer Service Technician* Copier Technician* Copying Machine Repairer* Data Processing Equipment Repairer* Photocopying Equipment Repairer* Printer Repair Technician","=""49-2011""","96.4","86.0","-10.4","-10.8","7.7","44,910","Some college, no degree","6","None","4","Short-term on-the-job training","5",-,-1
"Textile cutting machine setters, operators, and tenders    * Bedspread Cutter* Canvas Cutter* Cloth Cutter* Industrial Fabric Cutter* Textile Slitting Machine Operator* Twill Cutter* Upholstery Cutter* Welt Trimming Machine Operator","=""51-6062""","11.1","9.9","-1.2","-10.8","1.0","34,420","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Textile knitting and weaving machine setters, operators, and tenders    * Crochet Machine Operator* Jacquard Loom Weaver* Knitter Operator* Knitting Machine Operator* Loom Operator* Looping Machine Operator* Warp Knitting Machine Operator","=""51-6063""","17.8","15.9","-1.9","-10.5","1.7","35,750","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Cashiers    * Cash Register Operator* Check Out Cashier* Fare Collector* Grocery Checker* Hotel Dining Room Cashier* Snack Bar Cashier* Toll Booth Operator* Toll Collector","=""41-2011""","3,345.8","2,997.7","-348.1","-10.4","577.6","28,240","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Layout workers, metal and plastic    * Shipfitter* Shipfitter Apprentice","=""51-4192""","7.1","6.4","-0.7","-10.2","0.6","58,260","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Interviewers, except eligibility and loan    * Admitting Interviewer* Census Clerk* Census Taker* Field Enumerator* Market Research Interviewer* Outpatient Interviewing Clerk* Survey Interviewer* Telephone Interviewer","=""43-4111""","175.4","157.6","-17.7","-10.1","18.2","38,700","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Bill and account collectors    * Accounts Collector* Bill Collector* Billing Representative* Collection Agent* Collections Clerk* Collections Representative* Debt Collector* Installment Agent* Installment Loan Collector* Insurance Collector* Payment Collector* Repossessor","=""43-3011""","209.7","189.6","-20.1","-9.6","19.2","39,470","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Motion picture projectionists    * Chief Projectionist* Film Projector Operator* Motion Picture Operator* Motion Picture Projectionist* Movie Projectionist* Projector Booth Operator* Stereoptician","=""39-3021""","2.1","1.9","-0.2","-9.6","0.5","33,360","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic    * Aluminum Polisher* Deburring Machine Operator* Jewel Bearing Facer* Metal Grinder* Tool Polishing Machine Operator","=""51-4033""","75.0","67.9","-7.1","-9.5","6.8","38,910","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Textile bleaching and dyeing machine operators and tenders    * Cloth Dyer* Dye Range Operator* Rug Dyer* Skein Yarn Dyer* Yarn Dyer","=""51-6061""","7.0","6.4","-0.7","-9.5","0.7","32,680","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Plating machine setters, operators, and tenders, metal and plastic    * Anodizer* Chrome Plater* Chromium Plater* Copper Plater* Electro Plater* Electrogalvanizing Machine Operator* Electroplater* Galvanizer* Hard Chrome Plater* Metal Plater* Metal Spraying Machine Operator* Metalizing Machine Operator* Nickel Plater* Plating Machine Operator* Tin Plater","=""51-4193""","32.9","29.8","-3.1","-9.4","2.7","37,900","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic    * Engine Lathe Operator* Gear Cutter* Screw Machine Operator* Screw Machine Tool Setter","=""51-4034""","19.7","17.8","-1.9","-9.4","2.2","47,020","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Musical instrument repairers and tuners    * Accordion Repairer* Band Instrument Repair Technician* Banjo Repairer* Bow Rehairer* Brass and Wind Instrument Repairer* Chip Tuner* Fretted String Instrument Repairer* Guitar Builder* Guitar Repairer* Keyboard Instrument Repairer* Luthier* Mandolin Repairer* Organ Installer* Organ Tuner* Percussion Instrument Repairer* Piano Regulator* Piano Technician* Piano Tuner* Pipe Organ Technician* Stringed Instrument Repairer* Tone Regulator* Violin Repairer","=""49-9063""","7.0","6.3","-0.7","-9.4","0.5","38,150","High school diploma or equivalent","7","None","4","Apprenticeship","2",-,-1
"Fallers    * Lumberjack* Pulpwood Cutter* Timber Cutter* Timber Faller* Timber Feller","=""45-4021""","6.5","5.9","-0.6","-9.4","0.8","49,160","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Helpers--production workers    * Blending Tank Helper* Commercial Baker Helper* Machinist Helper* Slitter Helper* Tailor Helper* Welder Helper* Woodworker Helper","=""51-9198""","193.0","175.1","-17.9","-9.3","26.9","34,670","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Heat treating equipment setters, operators, and tenders, metal and plastic    * Annealing Furnace Operator* Carburizing Furnace Operator* Flame Hardening Machine Setter* Heat Treater Apprentice* Heat Treating Furnace Tender* Induction Machine Setter* Wire Annealer* Wire Temperer","=""51-4191""","16.0","14.6","-1.5","-9.1","1.3","40,900","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Pourers and casters, metal    * Aluminum Pourer* Ingot Caster* Iron Pourer* Molten Iron Pourer* Steel Pourer* Tin Pourer* White Metal Caster","=""51-4052""","6.2","5.6","-0.6","-9.1","0.5","45,070","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Brokerage clerks    * Brokerage Purchase-and-Sale Clerk* Commodities Clerk* Dividend Clerk* Securities Clerk","=""43-4011""","43.7","39.8","-3.9","-8.9","4.3","54,680","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Forest and conservation workers    * Forest Nursery Worker* Forester Aide* Forestry Laborer* Pine Straw Gatherer* Rangelands Conservation Laborer* Reforestation Worker* Seedling Puller* Wetlands Conservation Laborer","=""45-4011""","11.3","10.3","-1.0","-8.7","1.8","32,270","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Textile winding, twisting, and drawing out machine setters, operators, and tenders    * Rope Machine Setter* Roving Winder* Silk Winding Machine Operator* Twister Operator* Winder Operator","=""51-6064""","25.0","22.9","-2.2","-8.6","2.4","33,720","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Printing press operators    * Digital Press Operator* Flexographic Press Operator* Gravure Press Operator* Lithograph Press Operator* Lithographing Machine Operator* Offset Lithographic Press Setter and Set-Up Operator* Offset Press Operator* Printing Machine Operator* Screen Printing Machine Operator* Screen Printing Press Operator* Silk Screen Operator* Silk Screen Printer* Web Offset Press Feeder* Web Press Operator","=""51-5112""","155.5","142.3","-13.2","-8.5","14.4","39,350","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Tool and die makers    * Jig Bore Tool Maker* Metal Die Finisher* Metal Gauge Maker* Plastic Die Maker Apprentice* Tool Maker* Toolmaker","=""51-4111""","62.7","57.4","-5.3","-8.5","5.6","59,800","Postsecondary nondegree award","5","None","4","Long-term on-the-job training","3",-,-1
"Tool grinders, filers, and sharpeners    * Tool Grinder* Tool Grinding Machine Operator* Tool Sharpener* Tool Straightener","=""51-4194""","5.5","5.0","-0.5","-8.5","0.5","41,940","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Shipping, receiving, and inventory clerks    * Freight Clerk* Incoming Freight Clerk* Inventory Control Clerk* Inventory Taker* Receiving Clerk* Reconsignment Clerk* Route Delivery Clerk* Shipping Order Clerk* Shipping and Receiving Clerk* Stockroom Attendant* Stockroom Clerk* Store Receiving Clerk* Supply Clerk* Supply Room Clerk* Tool Crib Attendant* Warehouse Clerk","=""43-5071""","862.9","790.6","-72.2","-8.4","76.1","37,760","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Welding, soldering, and brazing machine setters, operators, and tenders    * Brazing Machine Operator* Brazing Machine Setter and Setup Operator* Brazing Machine Tender* Electron Beam Welder Setter* Machine Welder* Reserve Tube Welder* Soldering Machine Operator* Soldering Machine Setter and Setup Operator* Soldering Machine Tender* Ultrasonic Welding Machine Operator* Welding Machine Operator","=""51-4122""","32.9","30.1","-2.8","-8.4","2.8","44,920","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
